state,visited
Alabama,0
Alaska,0
Arkansas,0
Arizona,0
California,1
Colorado,0
Connecticut,1
Delaware,1
Florida,1
Georgia,1
Hawaii,1
Iowa,0
Idaho,0
Illinois,0
Indiana,0
Kansas,0
Kentucky,0
Louisiana,0
Maine,0
Maryland,1
Massachusetts,0
Michigan,1
Minnesota,0
Missouri,0
Mississippi,0
Montana,0
North Carolina,1
North Dakota,0
Nebraska,0
New Hampshire,0
New Jersey,0
New Mexico,0
Nevada,0
New York,1
Ohio,0
Oklahoma,0
Oregon,0
Pennsylvania,1
Rhode Island,1
South Carolina,1
South Dakota,0
Tennessee,1
Texas,0
Utah,0
Virginia,2
Vermont,0
Washington,0
Wisconsin,0
West Virginia,1
Wyoming,0
